frame_num,timestamp,raw_weight,smoothed_weight,confidence,entropy,needs_review
0,0.0,7.634,7.634,0.9694896936416626,0.08843091130256653,True
1,0.03336666666666667,7.634,7.634,0.9693406820297241,0.0870971828699112,True
2,0.06673333333333334,7.634,7.634,0.9696182012557983,0.08574195206165314,True
3,0.10010000000000001,7.634,7.634,0.9739905595779419,0.08135329931974411,True
4,0.13346666666666668,7.634,7.634,0.9748181104660034,0.07980156689882278,True
5,0.16683333333333333,7.634,7.634,0.9749704599380493,0.07885613292455673,True
6,0.20020000000000002,7.634,7.634,0.9758313298225403,0.0790354534983635,True
7,0.23356666666666667,7.634,7.634,0.9778276681900024,0.0736556425690651,True
8,0.26693333333333336,7.634,7.634,0.9777029752731323,0.07456213235855103,True
9,0.3003,7.634,7.634,0.9764783382415771,0.07701995968818665,True
10,0.33366666666666667,7.634,7.634,0.9764950275421143,0.0773400068283081,True
11,0.3670333333333333,7.634,7.634,0.9710044860839844,0.0880158543586731,True
12,0.40040000000000003,7.634,7.634,0.9715746641159058,0.08837315440177917,True
13,0.4337666666666667,7.634,7.634,0.971547544002533,0.08730283379554749,True
14,0.46713333333333334,7.624,7.624,0.9774208068847656,0.07910776883363724,True
15,0.5005000000000001,7.624,7.624,0.9771130084991455,0.07911735028028488,True
16,0.5338666666666667,7.634,7.634,0.97623211145401,0.07593125104904175,True
17,0.5672333333333334,7.624,7.624,0.9783151149749756,0.07090280950069427,True
18,0.6006,7.624,7.624,0.977263867855072,0.07326725125312805,True
19,0.6339666666666667,7.624,7.624,0.9769182801246643,0.0748300850391388,True
20,0.6673333333333333,7.624,7.624,0.977584958076477,0.07274893671274185,True
21,0.7007,7.624,7.624,0.9772053956985474,0.07400834560394287,True
22,0.7340666666666666,7.634,7.634,0.9709988832473755,0.08746682107448578,True
23,0.7674333333333333,7.614,7.614,0.9724414348602295,0.08532409369945526,True
24,0.8008000000000001,7.614,7.614,0.9723806977272034,0.08628304302692413,True
25,0.8341666666666667,7.634,7.634,0.9712556600570679,0.08630937337875366,True
26,0.8675333333333334,7.614,7.614,0.9710262417793274,0.08839211612939835,True
27,0.9009,7.614,7.614,0.97031170129776,0.08429936319589615,True
28,0.9342666666666667,7.624,7.624,0.976277232170105,0.0716686099767685,True
29,0.9676333333333333,7.624,7.624,0.977210283279419,0.07207542657852173,True
30,1.0010000000000001,7.624,7.624,0.9760668277740479,0.0745684802532196,True
31,1.0343666666666667,7.624,7.624,0.9743077158927917,0.07844490557909012,True
32,1.0677333333333334,7.624,7.624,0.9770861864089966,0.07428174465894699,True
33,1.1011,7.624,7.624,0.9752874374389648,0.07429373264312744,True
34,1.1344666666666667,7.624,7.624,0.974878191947937,0.0752640888094902,True
35,1.1678333333333333,7.624,7.624,0.9741677045822144,0.07607295364141464,True
36,1.2012,7.624,7.624,0.9744679927825928,0.07612033188343048,True
37,1.2345666666666666,7.624,7.624,0.973466157913208,0.07896289229393005,True
38,1.2679333333333334,7.624,7.624,0.973793625831604,0.07890911400318146,True
39,1.3013000000000001,7.624,7.624,0.9728797078132629,0.0816926658153534,True
40,1.3346666666666667,7.624,7.624,0.9739518165588379,0.079744853079319,True
41,1.3680333333333334,7.624,7.624,0.973602831363678,0.0778018981218338,True
42,1.4014,7.624,7.624,0.973919689655304,0.07725852727890015,True
43,1.4347666666666667,7.624,7.624,0.9738650321960449,0.0809326320886612,True
44,1.4681333333333333,7.624,7.624,0.9731185436248779,0.08096471428871155,True
45,1.5015,7.624,7.624,0.9747351408004761,0.07675869762897491,True
46,1.5348666666666666,7.624,7.624,0.9787741899490356,0.07276550680398941,True
47,1.5682333333333334,7.624,7.624,0.9779893755912781,0.07569269835948944,True
48,1.6016000000000001,7.624,7.624,0.9754939675331116,0.07739706337451935,True
49,1.6349666666666667,7.624,7.624,0.9777822494506836,0.0733771100640297,True
50,1.6683333333333334,7.624,7.624,0.9790339469909668,0.07181678712368011,True
51,1.7017,7.624,7.624,0.9788297414779663,0.07318895310163498,True
52,1.7350666666666668,7.624,7.624,0.9739043712615967,0.07870161533355713,True
53,1.7684333333333333,7.624,7.624,0.9747555255889893,0.07642905414104462,True
54,1.8018,7.624,7.624,0.9786022305488586,0.07144065201282501,True
55,1.8351666666666666,7.624,7.624,0.9778884649276733,0.07331179827451706,True
56,1.8685333333333334,7.624,7.624,0.9761647582054138,0.07614000141620636,True
57,1.9019,7.624,7.624,0.9747385382652283,0.07686538994312286,True
58,1.9352666666666667,7.624,7.624,0.9745014309883118,0.08052170276641846,True
59,1.9686333333333335,7.624,7.624,0.9772613048553467,0.07384275645017624,True
60,2.0020000000000002,7.624,7.624,0.9760851860046387,0.07479330897331238,True
61,2.0353666666666665,7.624,7.624,0.9746338725090027,0.07920253276824951,True
62,2.0687333333333333,7.624,7.624,0.9769057035446167,0.07601893693208694,True
63,2.1021,7.624,7.624,0.9788340330123901,0.07392361760139465,True
64,2.135466666666667,7.624,7.624,0.9774736762046814,0.07369206100702286,True
65,2.168833333333333,7.624,7.624,0.9758729934692383,0.07236723601818085,True
66,2.2022,7.624,7.624,0.9733070731163025,0.07526163756847382,True
67,2.2355666666666667,7.624,7.624,0.9744881987571716,0.0743122398853302,True
68,2.2689333333333335,7.622,7.622,0.9747678637504578,0.07432395219802856,True
69,2.3023000000000002,7.624,7.624,0.9755067229270935,0.07420209795236588,True
70,2.3356666666666666,7.624,7.624,0.9754360318183899,0.07287798821926117,True
71,2.3690333333333333,7.624,7.624,0.9739530086517334,0.0738360732793808,True
